,text,weekday,month,day,hour,has_hashtag,has_url,fav_count,is_reply,retweet_count,followers,following,user,screen_name
59,"RT @stevenk11011: Machine Learning and Data Science Applications in Industry
#machinelearning #datascience
https://t.co/x3qOjKxUhq",Tue,Jun,25,01,1,1,0,0,4,2252,2149,Cristóbal E. Vega G.,cristobalvega
60,"Read up on the 8 Machine Learning use cases to improve service, optimization, automation, and scale in the insuranc… https://t.co/PIgqZeP4jY",Tue,Jun,25,01,0,1,0,0,0,2890,4910,Paul Maher,PaulJFMaher
61,RT @odsc: PhD candidates often work on some fascinating data science projects. Here are 10 standout machine learning dissertations that may…,Tue,Jun,25,01,0,0,0,0,14,274,114,Jason Abdi,jason_abdi
62,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,01,0,0,0,0,1234,651,1160,babynetman,babynetman
63,"@aukia Would require hospital cooperation, otherwise you're just learning to see brains like a computer.… https://t.co/snVa6nRckq",Tue,Jun,25,01,0,1,0,1,0,130,102,Mikael Koivukangas,MKoivuka
64,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,01,0,0,0,0,1234,402,141,Trump Governs Like A Citizen 🇺🇸🇺🇸🇺🇸🇺🇸,mamie_trost
65,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,5305,5231,PatriotLady🇺🇸⭐️⭐️⭐️,AnAmerican4
66,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,01,0,0,0,0,1234,132,590,Mark Leakos,MinSK777
67,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,01,0,0,0,0,1234,139,59,Orca Mama,mama_orca
68,"RT @Project_Veritas: Autocomplete + Machine Learning Fairness = . . . ?  Does this look like political bias to you?

Learn more here: https…",Tue,Jun,25,01,0,0,0,0,1028,429,158,#HeroJulianAssange #Justice4Assange #FreeAssange,mypetZombie
69,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,1497,2052,Kevin🌟🌟🌟🇺🇸,KevinMc_US
70,"RT @ali: Summary of the @Project_Veritas video on Google:

• Google has rigged their Machine Learning to prevent AI from correcting
• Has m…",Tue,Jun,25,01,0,0,0,0,1319,71,778,JBC,CGBap
71,"RT @Project_Veritas: Autocomplete + Machine Learning Fairness = . . . ?  Does this look like political bias to you?

Learn more here: https…",Tue,Jun,25,01,0,0,0,0,1028,6408,6169,Sunny Flowers,850Sunny
72,RT @skonkoy: #MachineLearning in #Cybersecurity: One size doesn't fit all. Join @IntersetAI of @MicroFocusSec for this webinar to discuss 2…,Tue,Jun,25,01,1,0,0,0,0,1313,0,Cyber Security Feed,cybersec_feeds
73,"RT @Project_Veritas: Autocomplete + Machine Learning Fairness = . . . ?  Does this look like political bias to you?

Learn more here: https…",Tue,Jun,25,01,0,0,0,0,1028,959,1025,João Antônio,joaotrabalhador
74,"Transfer of Machine Learning Fairness across Domains. Candice Schumann, Xuezhi Wang, Alex Beutel, Jilin Chen, Hai Q… https://t.co/1BBeIWgMRA",Tue,Jun,25,01,0,1,0,1,0,3383,2,Brundage Bot,BrundageBot
75,"RT @Tamr_Inc: A #dataops team will help you get the most out of your #data. Here’s how people, processes, #technology, and #culture bring i…",Tue,Jun,25,01,1,0,0,0,2,10102,1060,Isaac Sacolick,nyike
76,"RT @Project_Veritas: Autocomplete + Machine Learning Fairness = . . . ?  Does this look like political bias to you?

Learn more here: https…",Tue,Jun,25,01,0,0,0,0,1028,303,1160,Jessica Jean,Jeci81
77,RT @Convergent_: Join Convergent &amp; Mitel to learn how Mitel is bringing the benefits of AI and machine learning to provide a better custome…,Tue,Jun,25,01,0,0,0,0,1,2565,3883,ajsondev,databytz
78,"RT @stevenk11011: Machine Learning and Data Science Applications in Industry
#machinelearning #datascience
https://t.co/x3qOjKxUhq",Tue,Jun,25,01,1,1,0,0,4,9988,0,Machine Learning,machinelearn_d
79,"The Value of Collaboration in Convex Machine Learning with Differential Privacy. Nan Wu, Farhad Farokhi, David Smit… https://t.co/Ipx79BqtuP",Tue,Jun,25,01,0,1,0,1,0,3383,2,Brundage Bot,BrundageBot
80,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,71,78,Anna White,awhite1967
81,"RT @andrlopez: #ICYMI Machine learning says ‘sound words’ predict psychosis https://t.co/LToBsjE50w via @FuturityNews

#DataAnalytics #Arti…",Tue,Jun,25,01,1,1,0,0,6,5875,4775,Santchi,SantchiWeb
82,"RT @PaulJFMaher: Read about 8 Machine Learning use cases that improves service and provides benefits of optimization, automation and scale…",Tue,Jun,25,01,0,0,0,0,1,5875,4775,Santchi,SantchiWeb
83,"RT @andrlopez: #ICYMI Machine learning says ‘sound words’ predict psychosis https://t.co/LToBsjE50w via @FuturityNews

#DataAnalytics #Arti…",Tue,Jun,25,01,1,1,0,0,6,9988,0,Machine Learning,machinelearn_d
84,"RT @jennybethm: Must watch video from @JamesOKeefeIII @Project_Veritas.

@Google whistleblower re: @google Machine Learning (ML) algorithms…",Tue,Jun,25,01,0,0,0,0,1123,342,210,Cindy Gower Glover,CindGowerGlover
85,"Read about 8 Machine Learning use cases that improves service and provides benefits of optimization, automation and… https://t.co/inYsLTrNbE",Tue,Jun,25,01,0,1,0,0,1,2890,4910,Paul Maher,PaulJFMaher
86,RT @ali: This is a top Google executive who has moved from their Safety (censoring) Team to monitor and rig their Machine Learning teams.…,Tue,Jun,25,01,0,0,0,0,1534,159,403,MadgeAdama,MadgeAdama
87,RT @ali: This is a top Google executive who has moved from their Safety (censoring) Team to monitor and rig their Machine Learning teams.…,Tue,Jun,25,01,0,0,0,0,1534,5521,5911,Karen,karenkay23456
88,RT @ali: This is a top Google executive who has moved from their Safety (censoring) Team to monitor and rig their Machine Learning teams.…,Tue,Jun,25,01,0,0,0,0,1534,152,750,Caine,AnimusCaine
89,"RT @ali: Summary of the @Project_Veritas video on Google:

• Google has rigged their Machine Learning to prevent AI from correcting
• Has m…",Tue,Jun,25,01,0,0,0,0,1319,77,228,You Dont Know 💩,JackSheeet
90,"RT @Project_Veritas: Autocomplete + Machine Learning Fairness = . . . ?  Does this look like political bias to you?

Learn more here: https…",Tue,Jun,25,01,0,0,0,0,1028,29,85,Lisa,Lisa46395719
91,RT @npew: Data classes in Python 3.7 are great for encapsulating hyper parameters in machine learning models. Gone are long keyword argumen…,Tue,Jun,25,01,0,0,0,0,158,238,207,Sir James Delon,SirJamesDelon
92,RT @WanChiang1010: #CoinTest AI is a machine learning application designed to analyze the technical fundamentals of #cryptocurrency and #bl…,Tue,Jun,25,01,1,0,0,0,2,5875,4775,Santchi,SantchiWeb
93,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,114,304,K A F _ twinkles,k_twinkles
94,RT @ali: This is a top Google executive who has moved from their Safety (censoring) Team to monitor and rig their Machine Learning teams.…,Tue,Jun,25,01,0,0,0,0,1534,135,502,Matt,detroitmatt66
95,RT @WanChiang1010: #CoinTest AI is a machine learning application designed to analyze the technical fundamentals of #cryptocurrency and #bl…,Tue,Jun,25,01,1,0,0,0,2,1980,266,Curious Luke,TheCuriousLuke
96,"RT @michellemalkin: Another blockbuster from @Project_Veritas @JamesOKeefeIII  exposing Google Exec Jen Gennai. She is in charge of ""ethica…",Tue,Jun,25,01,0,0,0,0,2439,1475,2318,bebebailey,bebebailey
97,"RT @LilaGraceRose: This is an incredibly important report from an insider at @google &amp; @Project_Veritas. 

Google is actively but secretly…",Tue,Jun,25,01,0,0,0,0,1234,523,738,Shelley,meadowruby
98,"RT @Project_Veritas: Autocomplete + Machine Learning Fairness = . . . ?  Does this look like political bias to you?

Learn more here: https…",Tue,Jun,25,01,0,0,0,0,1028,77,228,You Dont Know 💩,JackSheeet
99,#CoinTest AI is a machine learning application designed to analyze the technical fundamentals of #cryptocurrency an… https://t.co/WyP5GAxY1y,Tue,Jun,25,01,1,1,0,0,2,316,399,Wan Chiang,WanChiang1010
